plot_id,wheat_var,trt,pos_y,sample_id,weight,water_absorption,dough_stability,dough_softening,falling_number,zeleny,protein,tkw,vol_weigh,grain_area,grain_width,grain_length
plot_01,fiorina,b,4.5,bx01,738.7244844,66,1.7,NA,380,52,12.7,48.55,85.4,17.3,3.6,6.7
plot_02,fiorina,W,13.5,WT01,724.7553059,66,1.5,150,371,52,13.1,48.59,82.6,17.1,3.5,6.7
plot_03,fiorina,b,22.5,bx02,724.8554722,64.5,5.2,65,353,46,12.3,48.86,82.3,17.3,3.5,6.7
plot_04,fiorina,W,31.5,WT02,825.7330276,65.3,4.6,55,385,44,12,46.54,84.5,16.7,3.5,6.6
plot_05,fiorina,b,40.5,bx03,760.2035214,64.7,4.2,60,394,44,11.7,44.8,81.7,16.3,3.4,6.6
plot_06,fiorina,W,49.5,WT03,774.6715007,65,0.7,70,423,44,12.1,47.36,84.1,16.8,3.5,6.7
plot_07,fiorina,b,58.5,bx04,695.2613952,65.5,0.5,65,410,43,11.7,42.76,81.9,15.8,3.4,6.5
plot_08,fiorina,W,67.5,WT04,780.2144052,63.6,4.3,55,396,44,11.3,44.88,82.8,16.4,3.4,6.6
plot_09,fiorina,b,76.5,bx05,730.0882983,64.3,5.6,25,383,45,11.2,44.5,80.6,16.3,3.4,6.6
plot_10,fiorina,W,85.5,WT05,774.403362,65.4,5.1,60,376,50,12.1,44.31,81.4,16.5,3.4,6.6
plot_11,claro,b,4.5,bx06,779.7985217,65.8,2,95,370,64,12.6,43.59,79.2,15.8,3.5,6.3
plot_12,claro,W,13.5,WT06,800.3117877,65.9,7.9,5,396,65,13,44.73,82.1,16.1,3.6,6.3
plot_13,claro,b,22.5,bx07,766.3116406,65.9,6.6,15,358,66,12.9,43.71,81,16,3.6,6.3
plot_14,claro,W,31.5,WT07,822.7356645,66.4,0.4,85,363,56,12.5,43.14,81.3,15.8,3.5,6.3
plot_15,claro,b,40.5,bx08,776.2278166,65.5,4.7,40,374,62,12.9,42.95,81.4,15.8,3.5,6.3
plot_16,claro,W,49.5,WT08,777.46853,67.3,2.4,65,386,63,12.6,41.2,78.3,15.4,3.5,6.3
plot_17,claro,b,58.5,bx09,701.6046539,65.8,5.3,40,377,58,12.8,41.57,79.3,15.3,3.5,6.2
plot_18,claro,W,67.5,WT09,710.0142934,66.8,1.6,55,400,63,12.7,39.98,79,15.4,3.5,6.3
plot_19,claro,b,76.5,bx10,625.917324,67.4,0.6,60,389,62,13.2,41.77,81,15.5,3.5,6.3
plot_20,claro,W,85.5,WT10,720.0134384,67.9,0.6,60,389,63,12.8,45.44,82.2,16.4,3.4,6.6
plot_21,fiorina,b,4.5,bx11,702.4018294,66.8,3.3,115,371,53,13.3,45.23,79.2,16.5,3.4,6.6
plot_22,fiorina,W,13.5,WT11,844.7771748,67.3,2.4,70,389,54,12.5,46.59,82,16.7,3.5,6.6
plot_23,fiorina,b,22.5,bx12,764.7146788,66.4,2.8,70,384,49,12.7,46.65,80.2,17,3.5,6.7
plot_24,fiorina,W,31.5,WT12,794.2353849,63.8,5.7,60,406,47,11.9,42.3,80.9,15.6,3.3,6.5
plot_25,fiorina,b,40.5,bx13,716.3294019,66.6,0.6,75,386,49,12.7,45.83,80.8,16.7,3.5,6.7
plot_26,fiorina,W,49.5,WT13,733.8711011,65.2,0.7,70,356,46,12,44.04,81.9,16.2,3.4,6.6
plot_27,fiorina,b,58.5,bx14,731.778839,64.3,2.1,100,392,48,12.5,38.9,79.5,15.4,3.3,6.5
plot_28,fiorina,W,67.5,WT14,737.5775862,63.6,5,65,377,45,12.1,44.63,81,16,3.6,6.3
plot_29,fiorina,b,76.5,bx15,718.7233329,63.8,3.7,65,387,45,12.1,45.25,81.1,16.1,3.6,6.3
plot_30,fiorina,W,85.5,WT15,678.4630127,65,3.8,50,369,50,12.7,44.85,79.8,16.2,3.6,6.3
plot_31,claro,b,4.5,bx16,805.1704964,64.6,7.8,45,395,51,12.9,46.64,81.5,16.4,3.6,6.3
plot_32,claro,W,13.5,WT16,861.6515962,66.2,1.8,70,405,63,12.9,46.24,82.7,16.4,3.6,6.4
plot_33,claro,b,22.5,bx17,834.487335,66.9,0.5,50,372,64,13.9,45.5,82.4,16.1,3.6,6.3
plot_34,claro,W,31.5,WT17,834.8840058,65.5,5.8,30,NA,62,11.6,42.78,82,15.5,3.5,6.2
plot_35,claro,b,40.5,bx18,764.7138657,64.7,5.7,20,376,52,12.5,42.46,80.8,15.6,3.5,6.3
plot_36,claro,W,49.5,WT18,793.3280727,64.7,2.4,45,381,49,11.2,44.33,83.5,16.3,3.6,6.2
plot_37,claro,b,58.5,bx19,811.4056984,66.3,0.6,55,387,50,12.4,42.37,80.2,16.2,3.6,6.3
plot_38,claro,W,67.5,WT19,854.3643688,67.4,0.4,125,383,50,11.9,45.72,79.9,16.2,3.6,6.3
plot_39,claro,b,76.5,bx20,822.8099895,66.2,5.6,40,391,55,12.1,45.84,82.3,16.3,3.6,6.3
plot_40,claro,W,85.5,WT20,853.6588519,65.8,2.6,65,348,57,13,46.98,80.8,16.4,3.6,6.3
