"plot_id","sample_id","wheat_var","trt","pos_y","consumed_cm2"
"plot_01","bx01","fiorina","b",4.5,0.723247099974523
"plot_02","WT01","fiorina","W",13.5,1.08501410425632
"plot_03","bx02","fiorina","b",22.5,0.803016202239234
"plot_04","WT02","fiorina","W",31.5,0.863718373261408
"plot_05","bx03","fiorina","b",40.5,1.5971706591837
"plot_06","WT03","fiorina","W",49.5,1.25251766448116
"plot_07","bx04","fiorina","b",58.5,1.29749193525609
"plot_08","WT04","fiorina","W",67.5,1.21068835020655
"plot_09","bx05","fiorina","b",76.5,0.872272693227436
"plot_10","WT05","fiorina","W",85.5,1.2668160962282
"plot_11","bx06","claro","b",4.5,0.733505865939059
"plot_12","WT06","claro","W",13.5,0.495356044215231
"plot_13","bx07","claro","b",22.5,0.546345868764436
"plot_14","WT07","claro","W",31.5,0.829468229207925
"plot_15","bx08","claro","b",40.5,0.855420829773366
"plot_16","WT08","claro","W",49.5,1.14463709974204
"plot_17","bx09","claro","b",58.5,0.784052964843371
"plot_18","WT09","claro","W",67.5,0.625215585798237
"plot_19","bx10","claro","b",76.5,0.644967744367324
"plot_20","WT10","claro","W",85.5,0.989431236210669
"plot_21","bx11","fiorina","b",4.5,0.593681593247111
"plot_22","WT11","fiorina","W",13.5,0.859290112745687
"plot_23","bx12","fiorina","b",22.5,1.03184199612611
"plot_24","WT12","fiorina","W",31.5,0.935963643276376
"plot_25","bx13","fiorina","b",40.5,1.18197634345234
"plot_26","WT13","fiorina","W",49.5,1.28085221752422
"plot_27","bx14","fiorina","b",58.5,1.44705988714266
"plot_28","WT14","fiorina","W",67.5,1.18970536585737
"plot_29","bx15","fiorina","b",76.5,1.85521008300197
"plot_30","WT15","fiorina","W",85.5,1.8881934923853
"plot_31","bx16","claro","b",4.5,0.864574274759671
"plot_32","WT16","claro","W",13.5,0.312492824121555
"plot_33","bx17","claro","b",22.5,0.662509679435612
"plot_34","WT17","claro","W",31.5,0.69644694450646
"plot_35","bx18","claro","b",40.5,0.666880081357874
"plot_36","WT18","claro","W",49.5,1.14566176891514
"plot_37","bx19","claro","b",58.5,0.793359694472601
"plot_38","WT19","claro","W",67.5,0.945847439947516
"plot_39","bx20","claro","b",76.5,0.57902113886488
"plot_40","WT20","claro","W",85.5,1.50028244585504
"plot_41","bx21","sailor","b",4.5,3.40875755604288
"plot_42","WT21","sailor","W",13.5,0.701917853229594
"plot_43","bx22","sailor","b",22.5,1.00241712640231
"plot_44","WT22","sailor","W",31.5,1.01948873098252
"plot_45","bx23","sailor","b",40.5,3.49618952628102
"plot_47","bx24","sailor","b",58.5,2.02357286796019
"plot_48","WT24","sailor","W",67.5,1.60640453649197
"plot_50","WT25","sailor","W",85.5,2.95771809699588
"plot_51","bx26","sailor","b",4.5,1.7789444414892
"plot_52","WT26","sailor","W",13.5,1.57567885543343
"plot_53","bx27","sailor","b",22.5,1.39904769425516
"plot_54","WT27","sailor","W",31.5,0.865004896476273
"plot_55","bx28","sailor","b",40.5,2.50258924671955
"plot_56","WT28","sailor","W",49.5,1.61777462270163
"plot_57","bx29","sailor","b",58.5,2.96560632893776
"plot_58","WT29","sailor","W",67.5,1.52153857444901
"plot_59","bx30","sailor","b",76.5,3.89718466047511
"plot_60","WT30","sailor","W",85.5,1.84503352690052
