"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","weed_cover"
"Exp_9_02","plot_01","bx01","fiorina","b",4.5,40
"Exp_9_04","plot_02","WT01","fiorina","W",13.5,50
"Exp_9_06","plot_03","bx02","fiorina","b",22.5,75
"Exp_9_08","plot_04","WT02","fiorina","W",31.5,70
"Exp_9_10","plot_05","bx03","fiorina","b",40.5,40
"Exp_9_12","plot_06","WT03","fiorina","W",49.5,30
"Exp_9_14","plot_07","bx04","fiorina","b",58.5,30
"Exp_9_16","plot_08","WT04","fiorina","W",67.5,10
"Exp_9_18","plot_09","bx05","fiorina","b",76.5,15
"Exp_9_20","plot_10","WT05","fiorina","W",85.5,10
"Exp_9_22","plot_11","bx06","claro","b",4.5,50
"Exp_9_24","plot_12","WT06","claro","W",13.5,55
"Exp_9_26","plot_13","bx07","claro","b",22.5,80
"Exp_9_28","plot_14","WT07","claro","W",31.5,80
"Exp_9_30","plot_15","bx08","claro","b",40.5,60
"Exp_9_32","plot_16","WT08","claro","W",49.5,65
"Exp_9_34","plot_17","bx09","claro","b",58.5,65
"Exp_9_36","plot_18","WT09","claro","W",67.5,55
"Exp_9_38","plot_19","bx10","claro","b",76.5,50
"Exp_9_40","plot_20","WT10","claro","W",85.5,20
"Exp_9_42","plot_21","bx11","fiorina","b",4.5,65
"Exp_9_44","plot_22","WT11","fiorina","W",13.5,60
"Exp_9_46","plot_23","bx12","fiorina","b",22.5,75
"Exp_9_48","plot_24","WT12","fiorina","W",31.5,65
"Exp_9_50","plot_25","bx13","fiorina","b",40.5,50
"Exp_9_52","plot_26","WT13","fiorina","W",49.5,55
"Exp_9_54","plot_27","bx14","fiorina","b",58.5,65
"Exp_9_56","plot_28","WT14","fiorina","W",67.5,60
"Exp_9_58","plot_29","bx15","fiorina","b",76.5,40
"Exp_9_60","plot_30","WT15","fiorina","W",85.5,25
"Exp_9_62","plot_31","bx16","claro","b",4.5,65
"Exp_9_64","plot_32","WT16","claro","W",13.5,75
"Exp_9_66","plot_33","bx17","claro","b",22.5,75
"Exp_9_68","plot_34","WT17","claro","W",31.5,80
"Exp_9_70","plot_35","bx18","claro","b",40.5,75
"Exp_9_72","plot_36","WT18","claro","W",49.5,75
"Exp_9_74","plot_37","bx19","claro","b",58.5,75
"Exp_9_76","plot_38","WT19","claro","W",67.5,80
"Exp_9_78","plot_39","bx20","claro","b",76.5,75
"Exp_9_80","plot_40","WT20","claro","W",85.5,60
