"compound_name","sample_id","trt","pos_y","ng_mL"
"DIMBOA-Glc","bx01","b",4.5,7.34
"DIMBOA-Glc","WT01","W",13.5,0
"DIMBOA-Glc","bx02","b",22.5,1.355
"DIMBOA-Glc","WT02","W",31.5,0
"DIMBOA-Glc","bx03","b",58.5,0.545
"DIMBOA-Glc","WT03","W",67.5,0
"DIMBOA-Glc","bx04","b",76.5,10.385
"DIMBOA-Glc","WT04","W",85.5,0
"DIMBOA-Glc","bx05","b",40.5,1.105
"DIMBOA-Glc","WT05","W",49.5,0
"DIMBOA-Glc","bx06","b",58.5,0.775
"DIMBOA-Glc","WT06","W",67.5,0
"DIMBOA-Glc","bx07","b",4.5,0.375
"DIMBOA-Glc","WT07","W",13.5,0
"DIMBOA-Glc","bx08","b",22.5,1.07
"DIMBOA-Glc","WT08","W",31.5,1.125
"DIMBOA-Glc","bx09","b",40.5,0.46
"DIMBOA-Glc","WT09","W",49.5,0
"DIMBOA-Glc","bx10","b",76.5,2.46
"DIMBOA-Glc","WT10","W",85.5,0
"HMBOA","bx01","b",4.5,0.71
"HMBOA","WT01","W",13.5,0.705
"HMBOA","bx02","b",22.5,0.285
"HMBOA","WT02","W",31.5,38.96
"HMBOA","bx03","b",58.5,0.45
"HMBOA","WT03","W",67.5,5.285
"HMBOA","bx04","b",76.5,0.225
"HMBOA","WT04","W",85.5,9.31
"HMBOA","bx05","b",40.5,0.26
"HMBOA","WT05","W",49.5,2.145
"HMBOA","bx06","b",58.5,0
"HMBOA","WT06","W",67.5,0.655
"HMBOA","bx07","b",4.5,0.675
"HMBOA","WT07","W",13.5,4.125
"HMBOA","bx08","b",22.5,0.355
"HMBOA","WT08","W",31.5,9.595
"HMBOA","bx09","b",40.5,0.33
"HMBOA","WT09","W",49.5,35.895
"HMBOA","bx10","b",76.5,0.28
"HMBOA","WT10","W",85.5,23.1
"DIMBOA","bx01","b",4.5,0
"DIMBOA","WT01","W",13.5,0
"DIMBOA","bx02","b",22.5,0
"DIMBOA","WT02","W",31.5,0.64
"DIMBOA","bx03","b",58.5,0
"DIMBOA","WT03","W",67.5,0
"DIMBOA","bx04","b",76.5,0
"DIMBOA","WT04","W",85.5,0.395
"DIMBOA","bx05","b",40.5,0
"DIMBOA","WT05","W",49.5,0
"DIMBOA","bx06","b",58.5,0
"DIMBOA","WT06","W",67.5,0
"DIMBOA","bx07","b",4.5,0
"DIMBOA","WT07","W",13.5,0
"DIMBOA","bx08","b",22.5,0
"DIMBOA","WT08","W",31.5,0.305
"DIMBOA","bx09","b",40.5,0
"DIMBOA","WT09","W",49.5,0.31
"DIMBOA","bx10","b",76.5,0
"DIMBOA","WT10","W",85.5,0.445
"HDMBOA-Glc","bx01","b",4.5,2.38
"HDMBOA-Glc","WT01","W",13.5,0
"HDMBOA-Glc","bx02","b",22.5,0.52
"HDMBOA-Glc","WT02","W",31.5,0
"HDMBOA-Glc","bx03","b",58.5,0
"HDMBOA-Glc","WT03","W",67.5,0
"HDMBOA-Glc","bx04","b",76.5,2.175
"HDMBOA-Glc","WT04","W",85.5,0
"HDMBOA-Glc","bx05","b",40.5,0.455
"HDMBOA-Glc","WT05","W",49.5,0
"HDMBOA-Glc","bx06","b",58.5,0.405
"HDMBOA-Glc","WT06","W",67.5,0
"HDMBOA-Glc","bx07","b",4.5,0
"HDMBOA-Glc","WT07","W",13.5,0
"HDMBOA-Glc","bx08","b",22.5,0.635
"HDMBOA-Glc","WT08","W",31.5,0
"HDMBOA-Glc","bx09","b",40.5,0
"HDMBOA-Glc","WT09","W",49.5,NA
"HDMBOA-Glc","bx10","b",76.5,0.695
"HDMBOA-Glc","WT10","W",85.5,0.665
"MBOA","bx01","b",4.5,0.455
"MBOA","WT01","W",13.5,0.695
"MBOA","bx02","b",22.5,0.365
"MBOA","WT02","W",31.5,11.62
"MBOA","bx03","b",58.5,0.53
"MBOA","WT03","W",67.5,2.95
"MBOA","bx04","b",76.5,0.27
"MBOA","WT04","W",85.5,5.61
"MBOA","bx05","b",40.5,0.39
"MBOA","WT05","W",49.5,1.57
"MBOA","bx06","b",58.5,0.26
"MBOA","WT06","W",67.5,0.865
"MBOA","bx07","b",4.5,0.665
"MBOA","WT07","W",13.5,3.035
"MBOA","bx08","b",22.5,0.4
"MBOA","WT08","W",31.5,7.81
"MBOA","bx09","b",40.5,0.35
"MBOA","WT09","W",49.5,11.725
"MBOA","bx10","b",76.5,0.305
"MBOA","WT10","W",85.5,13.9
"AMPO","bx01","b",4.5,0.2
"AMPO","WT01","W",13.5,0.285
"AMPO","bx02","b",22.5,0.19
"AMPO","WT02","W",31.5,0.53
"AMPO","bx03","b",58.5,0.195
"AMPO","WT03","W",67.5,0.305
"AMPO","bx04","b",76.5,0.18
"AMPO","WT04","W",85.5,0.76
"AMPO","bx05","b",40.5,0.19
"AMPO","WT05","W",49.5,0.365
"AMPO","bx06","b",58.5,0.2
"AMPO","WT06","W",67.5,0.295
"AMPO","bx07","b",4.5,0.195
"AMPO","WT07","W",13.5,0.425
"AMPO","bx08","b",22.5,0.195
"AMPO","WT08","W",31.5,0.52
"AMPO","bx09","b",40.5,0.215
"AMPO","WT09","W",49.5,0.575
"AMPO","bx10","b",76.5,0.205
"AMPO","WT10","W",85.5,0.535
